Customer_query,Category,Intent,Priority
I can't seem to a service outage.,Complaint,Service Complaint,Medium
I can't seem to the monthly cost of the HR platform.,Pricing,Pricing Information,Medium
Just checking—a charge I wasn't expecting?,Complaint,Service Complaint,Low
Just checking—which countries you support?,General Inquiry,General Information,Low
I'm trying to find out your company?,General Inquiry,General Information,Low
Just checking—upgrading my service?,Service Inquiry,Service Request,Low
I'd like some information about uploading a file to my subscription.,Technical Support,Technical Issue,Low
I need some help with more information about the premium plan.,Product Inquiry,Product Information,Medium
I'm having trouble with activating my service.,Service Inquiry,Service Request,Medium
I need help with this as soon as possible: how the customer portal works.,Product Inquiry,Product Information,High
I'd like to know comparing our company account with another option?,Product Inquiry,Product Request,Low
I'm having trouble with details on the business plan.,Product Inquiry,Product Information,Medium
I'm stuck with what I should know about your service.,Product Inquiry,Product Information,Medium
Could someone help me with how much your service costs.,Pricing,Pricing Information,Medium
I can't seem to details on my recent order.,Product Inquiry,Product Information,Medium
I'm running into an issue with your business hours.,General Inquiry,General Information,Medium
Can someone look into this right away: whether the service is available in my area.,Service Inquiry,Service Information,High
I need some help with the monthly cost of my current plan.,Pricing,Pricing Information,Medium
Do you know creating an account?,General Inquiry,Account Request,Low
Can someone look into this right away: customizing the latest version.,Product Inquiry,Product Request,High
Just checking—adding a feature to my current plan?,Product Inquiry,Product Request,Low
I'd like some information about more information about my account.,Product Inquiry,Product Information,Low
I was wondering how much your service costs?,Pricing,Pricing Information,Low
I need some help with what I'd pay for my subscription.,Pricing,Pricing Information,Medium
I'd like some information about what I'd pay for the latest version.,Pricing,Pricing Information,Low
I'm having a problem with more information about the software.,Product Inquiry,Product Information,Medium
I'd like some information about how I can contact your team.,General Inquiry,General Information,Low
Just checking—an item that arrived damaged?,Complaint,Service Complaint,Low
I'm running into an issue with your maintenance schedule.,Service Inquiry,Service Information,Medium
I'd like some information about details on the latest version.,Product Inquiry,Product Information,Low
Just checking—more information about my current plan?,Product Inquiry,Product Information,Low
I can't seem to your terms and conditions.,General Inquiry,General Information,Medium
Could someone help me with more information about the HR platform.,Product Inquiry,Product Information,Medium
Something isn't working with an issue that support hasn't fixed.,Complaint,Service Complaint,Medium
Could you let me know transferring my service?,Service Inquiry,Service Request,Low
I urgently need help with how I can contact your team.,General Inquiry,General Information,High
I'm stuck with an error in my account.,Technical Support,Technical Issue,Medium
I'm trying to find out how I can contact your team?,General Inquiry,General Information,Low
Just wanted to check the current pricing for the latest version?,Pricing,Pricing Information,Low
I'd like some information about your business hours.,General Inquiry,General Information,Low
Just wanted to check what I'd pay for our company account?,Pricing,Pricing Information,Low
I can't seem to integrating the business plan with another tool.,Product Inquiry,Product Request,Medium
Just checking—a problem with my recent order?,Technical Support,Technical Issue,Low
Just checking—setting up the service?,Service Inquiry,Service Request,Low
I need help with this as soon as possible: your privacy policy.,General Inquiry,General Information,High
I was wondering customizing the premium plan?,Product Inquiry,Product Request,Low
Could someone help me with the current pricing for your AI HR software.,Pricing,Pricing Information,Medium
Just checking—details on the software?,Product Inquiry,Product Information,Low
I'm trying to find out updating my profile?,General Inquiry,Account Request,Low
Could someone help me with the monthly cost of the customer portal.,Pricing,Pricing Information,Medium
This is urgent—can you help with how much the customer portal costs.,Pricing,Pricing Information,High
Something isn't working with your company.,General Inquiry,General Information,Medium
Just checking—the monthly cost of the premium plan?,Pricing,Pricing Information,Low
Do you know an item that arrived damaged?,Complaint,Service Complaint,Low
I'd like some information about the price of the business plan.,Pricing,Pricing Information,Low
Just checking—the poor service I received?,Complaint,Service Complaint,Low
I'm having trouble with how I can contact your team.,General Inquiry,General Information,Medium
I'm running into an issue with an item that arrived damaged.,Complaint,Service Complaint,Medium
I'm having a problem with an error in my recent order.,Technical Support,Technical Issue,Medium
Could someone help me with how much my current plan costs.,Pricing,Pricing Information,Medium
Just checking—the monthly cost of the mobile app?,Pricing,Pricing Information,Low
I can't seem to how much the HR platform costs.,Pricing,Pricing Information,Medium
Please help me resolve this urgently: what the HR platform includes.,Product Inquiry,Product Information,High
This is urgent—can you help with the current pricing for the business plan.,Pricing,Pricing Information,High
I was wondering what I'd pay for the premium plan?,Pricing,Pricing Information,Low
Please help me resolve this urgently: the software not connecting.,Technical Support,Technical Issue,High
I'd like some information about my current plan not connecting.,Technical Support,Technical Issue,Low
I'm stuck with how much the software costs.,Pricing,Pricing Information,Medium
I'd like some information about what languages you support.,General Inquiry,General Information,Low
Just wanted to check uploading a file to my subscription?,Technical Support,Technical Issue,Low
This is urgent—can you help with your terms and conditions.,General Inquiry,General Information,High
Just checking—your company?,General Inquiry,General Information,Low
Just checking—how I can contact your team?,General Inquiry,General Information,Low
I need help with this as soon as possible: notifications from the premium plan not working.,Technical Support,Technical Issue,High
Something isn't working with getting documentation for the software.,Product Inquiry,Product Request,Medium
Could you let me know how much the customer portal costs?,Pricing,Pricing Information,Low
I'd like some information about the premium plan crashing.,Technical Support,Technical Issue,Low
I'd like some information about what I should know about my recent order.,Product Inquiry,Product Information,Low
Could someone help me with an item that arrived damaged.,Complaint,Service Complaint,Medium
I'm having trouble with an error in our company account.,Technical Support,Technical Issue,Medium
Can someone look into this right away: the quality of the service.,Complaint,Service Complaint,High
I need some help with the premium plan running very slowly.,Technical Support,Technical Issue,Medium
Can someone look into this right away: how the premium plan works.,Product Inquiry,Product Information,High
This is urgent—can you help with getting help with my account.,General Inquiry,Account Request,High
This is urgent—can you help with my account running very slowly.,Technical Support,Technical Issue,High
Just checking—checking my service request?,Service Inquiry,Service Request,Low
I'm stuck with getting documentation for my current plan.,Product Inquiry,Product Request,Medium
Just checking—how much the HR platform costs?,Pricing,Pricing Information,Low
I'd like some information about my account crashing.,Technical Support,Technical Issue,Low
Just checking—a refund that still hasn't arrived?,Complaint,Service Complaint,Low
Just checking—your service coverage?,Service Inquiry,Service Information,Low
I'm stuck with the price of my recent order.,Pricing,Pricing Information,Medium
I'm trying to find out transferring my service?,Service Inquiry,Service Request,Low
Just checking—how the latest version works?,Product Inquiry,Product Information,Low
I'd like some information about a problem with the latest version.,Technical Support,Technical Issue,Low
I'd like to know your business hours?,General Inquiry,General Information,Low
Can someone look into this right away: the price of the mobile app.,Pricing,Pricing Information,High
Please help me resolve this urgently: the current pricing for your service.,Pricing,Pricing Information,High
Do you know customizing the business plan?,Product Inquiry,Product Request,Low
I'm running into an issue with whether the service is available in my area.,Service Inquiry,Service Information,Medium
Just checking—the price of the software?,Pricing,Pricing Information,Low
I'd like some information about cancelling my service.,Service Inquiry,Service Request,Low
Can someone look into this right away: adding a feature to my account.,Product Inquiry,Product Request,High
I'm trying to find out the current pricing for the mobile app?,Pricing,Pricing Information,Low
I'd like to know uploading a file to the mobile app?,Technical Support,Technical Issue,Low
I'm stuck with comparing the software with another option.,Product Inquiry,Product Request,Medium
I need help with this as soon as possible: checking the status of my transfer.,Service Inquiry,Service Request,High
Just checking—what languages you support?,General Inquiry,General Information,Low
I need some help with your company.,General Inquiry,General Information,Medium
I need some help with upgrading my service.,Service Inquiry,Service Request,Medium
I'm having trouble with the poor service I received.,Complaint,Service Complaint,Medium
Just checking—the mobile app crashing?,Technical Support,Technical Issue,Low
I'd like some information about when the service is available.,Service Inquiry,Service Information,Low
Just checking—what I'd pay for your AI HR software?,Pricing,Pricing Information,Low
I'm having trouble with the price of the software.,Pricing,Pricing Information,Medium
Could someone help me with the monthly cost of the software.,Pricing,Pricing Information,Medium
Something isn't working with the current pricing for the customer portal.,Pricing,Pricing Information,Medium
Something isn't working with uploading a file to my recent order.,Technical Support,Technical Issue,Medium
I need help with this as soon as possible: changing my service.,Service Inquiry,Service Request,High
I need help with this as soon as possible: where your office is located.,General Inquiry,General Information,High
I'd like some information about customizing my account.,Product Inquiry,Product Request,Low
I'm having trouble with your maintenance schedule.,Service Inquiry,Service Information,Medium
Just checking—the current pricing for the HR platform?,Pricing,Pricing Information,Low
I'd like some information about what I'd pay for your service.,Pricing,Pricing Information,Low
I'm having trouble with what I'd pay for the business plan.,Pricing,Pricing Information,Medium
I can't seem to whether the service is available in my area.,Service Inquiry,Service Information,Medium
I need some help with the monthly cost of the mobile app.,Pricing,Pricing Information,Medium
I wanted to ask an item that arrived damaged?,Complaint,Service Complaint,Low
I'm having trouble with your terms and conditions.,General Inquiry,General Information,Medium
Could someone help me with closing my account.,General Inquiry,Account Request,Medium
Just wanted to check a service outage?,Complaint,Service Complaint,Low
Could someone help me with your company.,General Inquiry,General Information,Medium
I urgently need help with checking my service request.,Service Inquiry,Service Request,High
I'd like some information about checking the status of my transfer.,Service Inquiry,Service Request,Low
Just checking—the price of my subscription?,Pricing,Pricing Information,Low
I'd like some information about logging into the premium plan.,Technical Support,Technical Issue,Low
I'm stuck with a delivery that arrived late.,Complaint,Service Complaint,Medium
I'd like to know how I can contact your team?,General Inquiry,General Information,Low
I'm running into an issue with what I should know about our company account.,Product Inquiry,Product Information,Medium
I'm having trouble with the quality of the service.,Complaint,Service Complaint,Medium
I'd like some information about raising a formal complaint.,Complaint,Escalation Request,Low
I'd like some information about the price of the mobile app.,Pricing,Pricing Information,Low
Just checking—getting documentation for my subscription?,Product Inquiry,Product Request,Low
This is urgent—can you help with notifications from the software not working.,Technical Support,Technical Issue,High
Could someone help me with booking an appointment.,Service Inquiry,Service Request,Medium
I'm running into an issue with how much the latest version costs.,Pricing,Pricing Information,Medium
I can't seem to your service coverage.,Service Inquiry,Service Information,Medium
Just checking—booking an appointment?,Service Inquiry,Service Request,Low
I'd like some information about setting up the service.,Service Inquiry,Service Request,Low
I need help with this as soon as possible: how much your AI HR software costs.,Pricing,Pricing Information,High
I'd like some information about a problem with the customer portal.,Technical Support,Technical Issue,Low
Could you let me know details on my current plan?,Product Inquiry,Product Information,Low
I'm having a problem with a refund that still hasn't arrived.,Complaint,Service Complaint,Medium
I need help with this as soon as possible: what the HR platform includes.,Product Inquiry,Product Information,High
Could someone help me with getting documentation for the latest version.,Product Inquiry,Product Request,Medium
I'm trying to find out notifications from the latest version not working?,Technical Support,Technical Issue,Low
I'd like some information about the requirements for getting the service.,Service Inquiry,Service Information,Low
I'm running into an issue with how much our company account costs.,Pricing,Pricing Information,Medium
I need help with this as soon as possible: your company.,General Inquiry,General Information,High
I'm running into an issue with what services you offer.,Service Inquiry,Service Information,Medium
Please help me resolve this urgently: how I can contact your team.,General Inquiry,General Information,High
This is urgent—can you help with your privacy policy.,General Inquiry,General Information,High
I'd like some information about booking an appointment.,Service Inquiry,Service Request,Low
I'm having trouble with adding a feature to the software.,Product Inquiry,Product Request,Medium
I'm having a problem with changing my service.,Service Inquiry,Service Request,Medium
I need help with this as soon as possible: cancelling my service.,Service Inquiry,Service Request,High
I'd like to know changing my service?,Service Inquiry,Service Request,Low
I'd like some information about the monthly cost of the premium plan.,Pricing,Pricing Information,Low
I urgently need help with upgrading my service.,Service Inquiry,Service Request,High
I'd like some information about the price of my current plan.,Pricing,Pricing Information,Low
I urgently need help with customizing the HR platform.,Product Inquiry,Product Request,High
Just checking—whether the service is available in my area?,Service Inquiry,Service Information,Low
I need some help with an error in our company account.,Technical Support,Technical Issue,Medium
Just checking—cancelling my service?,Service Inquiry,Service Request,Low
Could you let me know customizing the premium plan?,Product Inquiry,Product Request,Low
Just wanted to check the current pricing for the customer portal?,Pricing,Pricing Information,Low
I'm stuck with what I should know about the business plan.,Product Inquiry,Product Information,Medium
I'm having trouble with notifications from our company account not working.,Technical Support,Technical Issue,Medium
I need some help with a charge I wasn't expecting.,Complaint,Service Complaint,Medium
Could someone help me with more information about my account.,Product Inquiry,Product Information,Medium
Could someone help me with the price of the latest version.,Pricing,Pricing Information,Medium
I'm stuck with a refund that still hasn't arrived.,Complaint,Service Complaint,Medium
I can't seem to more information about my account.,Product Inquiry,Product Information,Medium
I'd like some information about the current pricing for the customer portal.,Pricing,Pricing Information,Low
Please help me resolve this urgently: transferring my service.,Service Inquiry,Service Request,High
I can't seem to what our company account includes.,Product Inquiry,Product Information,Medium
I'm having a problem with logging into the premium plan.,Technical Support,Technical Issue,Medium
Just checking—how much the premium plan costs?,Pricing,Pricing Information,Low
I can't seem to how the HR platform works.,Product Inquiry,Product Information,Medium
Just checking—what I should know about your AI HR software?,Product Inquiry,Product Information,Low
Something isn't working with more information about my current plan.,Product Inquiry,Product Information,Medium
I need some help with logging into my current plan.,Technical Support,Technical Issue,Medium
I need some help with a problem with my recent order.,Technical Support,Technical Issue,Medium
I'm having a problem with checking the status of my transfer.,Service Inquiry,Service Request,Medium
I'm running into an issue with the current pricing for the software.,Pricing,Pricing Information,Medium
I can't seem to details on my account.,Product Inquiry,Product Information,Medium
I'd like some information about updating my profile.,General Inquiry,Account Request,Low
I'm stuck with the quality of the service.,Complaint,Service Complaint,Medium
Just checking—logging into your AI HR software?,Technical Support,Technical Issue,Low
I'd like some information about how much the mobile app costs.,Pricing,Pricing Information,Low
I'm stuck with changing my account details.,General Inquiry,Account Request,Medium
I'm having a problem with what I'd pay for the HR platform.,Pricing,Pricing Information,Medium
I'm having a problem with more information about the business plan.,Product Inquiry,Product Information,Medium
Do you know your terms and conditions?,General Inquiry,General Information,Low
Just checking—comparing your AI HR software with another option?,Product Inquiry,Product Request,Low
I'm trying to find out an error in the software?,Technical Support,Technical Issue,Low
Could you let me know changing my service?,Service Inquiry,Service Request,Low
I'd like some information about how much my account costs.,Pricing,Pricing Information,Low
Just checking—notifications from our company account not working?,Technical Support,Technical Issue,Low
Just wanted to check how much the latest version costs?,Pricing,Pricing Information,Low
I'd like to know checking the status of my transfer?,Service Inquiry,Service Request,Low
Just checking—your privacy policy?,General Inquiry,General Information,Low
I urgently need help with the quality of the service.,Complaint,Service Complaint,High
I'm having trouble with an item that arrived damaged.,Complaint,Service Complaint,Medium
I was wondering how I can contact your team?,General Inquiry,General Information,Low
Just checking—how the business plan works?,Product Inquiry,Product Information,Low
I urgently need help with updating my profile.,General Inquiry,Account Request,High
Can someone look into this right away: the requirements for getting the service.,Service Inquiry,Service Information,High
I'm having trouble with a refund that still hasn't arrived.,Complaint,Service Complaint,Medium
I'd like some information about the quality of the service.,Complaint,Service Complaint,Low
Can someone look into this right away: an issue that support hasn't fixed.,Complaint,Service Complaint,High
Could someone help me with updating my profile.,General Inquiry,Account Request,Medium
I can't seem to upgrading my service.,Service Inquiry,Service Request,Medium
Please help me resolve this urgently: a delivery that arrived late.,Complaint,Service Complaint,High
I wanted to ask activating my service?,Service Inquiry,Service Request,Low
Something isn't working with what services you offer.,Service Inquiry,Service Information,Medium
Could someone help me with customizing our company account.,Product Inquiry,Product Request,Medium
I'm stuck with the current pricing for the latest version.,Pricing,Pricing Information,Medium
I was wondering a refund that still hasn't arrived?,Complaint,Service Complaint,Low
I need help with this as soon as possible: how my subscription works.,Product Inquiry,Product Information,High
Just checking—what I'd pay for the business plan?,Pricing,Pricing Information,Low
Please help me resolve this urgently: the quality of the service.,Complaint,Service Complaint,High
I'm having a problem with notifications from the latest version not working.,Technical Support,Technical Issue,Medium
Could you let me know a refund that still hasn't arrived?,Complaint,Service Complaint,Low
Just checking—the requirements for getting the service?,Service Inquiry,Service Information,Low
Can someone look into this right away: uploading a file to the premium plan.,Technical Support,Technical Issue,High
I'm having a problem with setting up the service.,Service Inquiry,Service Request,Medium
I'm having a problem with what I'd pay for your AI HR software.,Pricing,Pricing Information,Medium
Just checking—the current pricing for the customer portal?,Pricing,Pricing Information,Low
I'd like some information about where your office is located.,General Inquiry,General Information,Low
I'd like some information about a delivery that arrived late.,Complaint,Service Complaint,Low
Can you tell me the quality of the service?,Complaint,Service Complaint,Low
Something isn't working with your terms and conditions.,General Inquiry,General Information,Medium
I'm running into an issue with your privacy policy.,General Inquiry,General Information,Medium
I can't seem to how I can contact your team.,General Inquiry,General Information,Medium
I'd like some information about the poor service I received.,Complaint,Service Complaint,Low
Just checking—updating my profile?,General Inquiry,Account Request,Low
I urgently need help with more information about your service.,Product Inquiry,Product Information,High
I'm having trouble with the monthly cost of the premium plan.,Pricing,Pricing Information,Medium
I'm having trouble with an error in the premium plan.,Technical Support,Technical Issue,Medium
Just checking—activating my service?,Service Inquiry,Service Request,Low
Can someone look into this right away: details on the premium plan.,Product Inquiry,Product Information,High
I'd like to know a refund that still hasn't arrived?,Complaint,Service Complaint,Low
I'm having trouble with what I'd pay for my recent order.,Pricing,Pricing Information,Medium
Just checking—the price of your service?,Pricing,Pricing Information,Low
Can someone look into this right away: the price of your service.,Pricing,Pricing Information,High
Just checking—a problem with the mobile app?,Technical Support,Technical Issue,Low
Just checking—how much our company account costs?,Pricing,Pricing Information,Low
I'm stuck with getting support for the business plan.,Technical Support,Support Request,Medium
Do you know a refund that still hasn't arrived?,Complaint,Service Complaint,Low
I urgently need help with a problem with my current plan.,Technical Support,Technical Issue,High
I need help with this as soon as possible: the requirements for getting the service.,Service Inquiry,Service Information,High
Just checking—a service outage?,Complaint,Service Complaint,Low
I need help with this as soon as possible: sending feedback about my account.,General Inquiry,Account Request,High
Please help me resolve this urgently: checking my service request.,Service Inquiry,Service Request,High
I can't seem to how the customer portal works.,Product Inquiry,Product Information,Medium
I wanted to ask closing my account?,General Inquiry,Account Request,Low
I need help with this as soon as possible: getting help with my account.,General Inquiry,Account Request,High
I wanted to ask your terms and conditions?,General Inquiry,General Information,Low
I'm running into an issue with setting up the service.,Service Inquiry,Service Request,Medium
I need help with this as soon as possible: the price of my subscription.,Pricing,Pricing Information,High
I need some help with what languages you support.,General Inquiry,General Information,Medium
I urgently need help with what I'd pay for my subscription.,Pricing,Pricing Information,High
I'd like some information about what I'd pay for my current plan.,Pricing,Pricing Information,Low
I urgently need help with adding a feature to our company account.,Product Inquiry,Product Request,High
Do you know changing my account details?,General Inquiry,Account Request,Low
Something isn't working with details on my account.,Product Inquiry,Product Information,Medium
This is urgent—can you help with checking my service request.,Service Inquiry,Service Request,High
I'm running into an issue with adding a feature to my recent order.,Product Inquiry,Product Request,Medium
I'm having a problem with where your office is located.,General Inquiry,General Information,Medium
I'd like to know the quality of the service?,Complaint,Service Complaint,Low
Just wanted to check your service coverage?,Service Inquiry,Service Information,Low
Could someone help me with the monthly cost of my recent order.,Pricing,Pricing Information,Medium
Just checking—closing my account?,General Inquiry,Account Request,Low
I need help with this as soon as possible: integrating our company account with another tool.,Product Inquiry,Product Request,High
I urgently need help with your terms and conditions.,General Inquiry,General Information,High
I need some help with your terms and conditions.,General Inquiry,General Information,Medium
Just checking—what I'd pay for the software?,Pricing,Pricing Information,Low
I can't seem to changing my service.,Service Inquiry,Service Request,Medium
Could you let me know the quality of the service?,Complaint,Service Complaint,Low
I'd like some information about a charge I wasn't expecting.,Complaint,Service Complaint,Low
This is urgent—can you help with escalating my complaint.,Complaint,Escalation Request,High
I'd like some information about what the customer portal includes.,Product Inquiry,Product Information,Low
I urgently need help with your company.,General Inquiry,General Information,High
Can you tell me sending feedback about my account?,General Inquiry,Account Request,Low
Could someone help me with a problem with the customer portal.,Technical Support,Technical Issue,Medium
I need some help with an issue that support hasn't fixed.,Complaint,Service Complaint,Medium
I'm having a problem with more information about my current plan.,Product Inquiry,Product Information,Medium
I urgently need help with sending feedback about my account.,General Inquiry,Account Request,High
Please help me resolve this urgently: setting up the service.,Service Inquiry,Service Request,High
I'd like some information about sending feedback about my account.,General Inquiry,Account Request,Low
I need some help with a service outage.,Complaint,Service Complaint,Medium
I'm having a problem with what my subscription includes.,Product Inquiry,Product Information,Medium
Please help me resolve this urgently: your service coverage.,Service Inquiry,Service Information,High
I wanted to ask your service coverage?,Service Inquiry,Service Information,Low
Just checking—what your service includes?,Product Inquiry,Product Information,Low
I'm running into an issue with customizing your service.,Product Inquiry,Product Request,Medium
I'm trying to find out cancelling my service?,Service Inquiry,Service Request,Low
I'm having trouble with uploading a file to the mobile app.,Technical Support,Technical Issue,Medium
I'm trying to find out a refund that still hasn't arrived?,Complaint,Service Complaint,Low
I'm having trouble with what services you offer.,Service Inquiry,Service Information,Medium
I'm having a problem with an issue that support hasn't fixed.,Complaint,Service Complaint,Medium
Something isn't working with adding a feature to the mobile app.,Product Inquiry,Product Request,Medium
I can't seem to what I'd pay for the latest version.,Pricing,Pricing Information,Medium
Something isn't working with a delivery that arrived late.,Complaint,Service Complaint,Medium
Could someone help me with a refund that still hasn't arrived.,Complaint,Service Complaint,Medium
I'm having trouble with what the latest version includes.,Product Inquiry,Product Information,Medium
Can someone look into this right away: checking my service request.,Service Inquiry,Service Request,High
I'd like some information about the monthly cost of the business plan.,Pricing,Pricing Information,Low
I'm running into an issue with your service coverage.,Service Inquiry,Service Information,Medium
I'd like some information about a refund for the latest version.,Pricing,Billing Request,Low
I can't seem to where your office is located.,General Inquiry,General Information,Medium
I'm running into an issue with changing my service.,Service Inquiry,Service Request,Medium
I'm running into an issue with the requirements for getting the service.,Service Inquiry,Service Information,Medium
I'm running into an issue with a refund that still hasn't arrived.,Complaint,Service Complaint,Medium
Something isn't working with customizing your service.,Product Inquiry,Product Request,Medium
I need some help with customizing the premium plan.,Product Inquiry,Product Request,Medium
This is urgent—can you help with cancelling my service.,Service Inquiry,Service Request,High
I'm having a problem with booking an appointment.,Service Inquiry,Service Request,Medium
